PERSON_ID,PERSON_TYPE,CRASH_DATE,CITY,ZIPCODE,SEX,AGE,AIRBAG_DEPLOYED,INJURY_CLASSIFICATION,HOSPITAL,DRIVER_ACTION,Hour,Day,WeekDay,Month
O1194269,2,9/26/2021 12:10,CHICAGO,60644,F,53,"DEPLOYED, FRONT",NO INDICATION OF INJURY,WEST SUBURBAN HOSPITAL,OTHER,12,26,6,9
O1192403,2,9/26/2021 13:39,CHICAGO,60605,M,40,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,13,26,6,9
O1192449,2,9/26/2021 14:25,CHICAGO,60637,F,51,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,14,26,6,9
O1192448,2,9/26/2021 14:25,CHICAGO,60632,M,43,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,14,26,6,9
O1192432,2,9/26/2021 14:38,CHICAGO,60645,M,53,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,FAILED TO YIELD,14,26,6,9
O1261470,2,9/26/2021 14:40,CHICAGO,60629,M,49,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,HOLY CROSS,DISREGARDED CONTROL DEVICES,14,26,6,9
O1192441,2,9/26/2021 15:04,CHICAGO,60628,F,33,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,15,26,6,9
O1192459,2,9/26/2021 15:09,CHICAGO,60632,F,32,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,15,26,6,9
O1192460,2,9/26/2021 15:09,CHICAGO,60629,M,59,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,15,26,6,9
O1192465,2,9/26/2021 15:17,CHICAGO,60616,M,43,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,15,26,6,9
O1192541,2,9/26/2021 15:29,CHICAGO,60619,M,35,NOT APPLICABLE,NONINCAPACITATING INJURY,ST. BERNARD'S,FAILED TO YIELD,15,26,6,9
O1192542,2,9/26/2021 15:29,CHICAGO,60619,M,29,"DEPLOYED, SIDE",NONINCAPACITATING INJURY,CHRIST,NONE,15,26,6,9
O1192552,2,9/26/2021 17:22,CHICAGO,60618,M,55,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,17,26,6,9
O1192564,2,9/26/2021 17:35,CHICAGO,60641,F,49,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,17,26,6,9
O1192565,2,9/26/2021 17:35,CHICAGO,60641,F,30,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,17,26,6,9
O1192638,2,9/26/2021 18:38,CHICAGO,60628,M,29,"DEPLOYED, SIDE",INCAPACITATING INJURY,MT SINAI,DISREGARDED CONTROL DEVICES,18,26,6,9
O1192589,2,9/26/2021 18:53,CHICAGO,60618,M,36,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,ILLINOIS MASONIC,UNKNOWN,18,26,6,9
O1192604,2,9/26/2021 18:57,CHICAGO,60637,M,51,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",NORTHWESTERN,UNKNOWN,18,26,6,9
O1192618,2,9/26/2021 19:00,CHICAGO,60620,F,77,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",ROSELAND,OVERCORRECTED,19,26,6,9
O1192651,2,9/26/2021 19:28,CHICAGO,60619,M,62,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,U OF C,OVERCORRECTED,19,26,6,9
O1192696,2,9/26/2021 19:30,CHICAGO,60628,F,65,DID NOT DEPLOY,INCAPACITATING INJURY,PROVIDENT HOSPITAL,NONE,19,26,6,9
O1192679,2,9/26/2021 19:35,CHICAGO,60618,M,37,NOT APPLICABLE,FATAL,LUTHERAN,FAILED TO YIELD,19,26,6,9
O1192630,2,9/26/2021 20:09,CHICAGO,60659,M,36,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,20,26,6,9
O1192636,2,9/26/2021 20:30,CHICAGO,60645,M,70,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,20,26,6,9
O1192726,2,9/26/2021 23:03,CHICAGO,60631,F,36,DID NOT DEPLOY,NONINCAPACITATING INJURY,RESURRECTION NORTH,UNKNOWN,23,26,6,9
O1192750,2,9/27/2021 2:45,CHICAGO,60660,M,60,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,2,27,0,9
O1192748,2,9/27/2021 2:58,CHICAGO,60625,M,50,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,2,27,0,9
O1192749,2,9/27/2021 2:58,CHICAGO,60640,M,35,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,2,27,0,9
O1194461,2,9/27/2021 6:10,CHICAGO,60660,F,49,NOT APPLICABLE,INCAPACITATING INJURY,NORTHWESTERN HOSPITAL,NONE,6,27,0,9
O1192816,2,9/27/2021 7:23,CHICAGO,60642,M,44,"DEPLOYED, SIDE","REPORTED, NOT EVIDENT",REFUSED,FAILED TO YIELD,7,27,0,9
O1192817,2,9/27/2021 7:23,CHICAGO,60619,F,34,"DEPLOYED, SIDE",NO INDICATION OF INJURY,RFUSED,NONE,7,27,0,9
O1192823,2,9/27/2021 7:43,CHICAGO,60609,F,28,DID NOT DEPLOY,NONINCAPACITATING INJURY,ST BERNARD,NONE,7,27,0,9
O1192938,2,9/27/2021 8:11,CHICAGO,60621,F,46,DID NOT DEPLOY,INCAPACITATING INJURY,HOLY CROSS,NONE,8,27,0,9
O1192867,2,9/27/2021 8:57,CHICAGO,60618,F,34,NOT APPLICABLE,NO INDICATION OF INJURY,DECLINED EMS,OTHER,8,27,0,9
O1192868,2,9/27/2021 8:57,CHICAGO,60634,F,36,NOT APPLICABLE,"REPORTED, NOT EVIDENT",DECLINED EMS FOR HEADACHE,NONE,8,27,0,9
O1195959,2,9/27/2021 9:00,CHICAGO,60633,M,61,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,9,27,0,9
O1192900,2,9/27/2021 9:07,CHICAGO,60699,M,66,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,9,27,0,9
O1192901,2,9/27/2021 9:07,CHICAGO,60632,M,69,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,9,27,0,9
O1192990,2,9/27/2021 9:20,CHICAGO,60625,F,17,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",COMMUNITY FIRST,FAILED TO YIELD,9,27,0,9
O1192991,2,9/27/2021 9:20,CHICAGO,60630,F,36,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",REFUSED,NONE,9,27,0,9
O1192911,2,9/27/2021 9:27,CHICAGO,60651,M,30,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED / DECLINED,OTHER,9,27,0,9
O1225316,2,9/27/2021 9:28,CHICAGO,60651,M,57,DEPLOYMENT UNKNOWN,"REPORTED, NOT EVIDENT",REFUSED,NONE,9,27,0,9
O1192981,2,9/27/2021 10:50,CHICAGO,60680,F,46,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,10,27,0,9
O1201610,2,9/27/2021 11:35,CHICAGO,60625,M,19,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,11,27,0,9
O1201611,2,9/27/2021 11:35,CHICAGO,60625,M,20,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,11,27,0,9
O1193084,2,9/27/2021 11:38,CHICAGO,60611,F,16,DID NOT DEPLOY,NONINCAPACITATING INJURY,MOUNT SINAI,IMPROPER PASSING,11,27,0,9
O1193007,2,9/27/2021 12:30,CHICAGO,60633,F,39,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,12,27,0,9
O1193055,2,9/27/2021 12:30,CHICAGO,60605,F,69,NOT APPLICABLE,NONINCAPACITATING INJURY,UNIVERSITY OF ILLINOIS,UNKNOWN,12,27,0,9
O1193090,2,9/27/2021 12:38,CHICAGO,60636,F,28,DID NOT DEPLOY,NO INDICATION OF INJURY,UNIVERSITY OF CHICAGO,UNKNOWN,12,27,0,9
O1193135,2,9/27/2021 13:35,CHICAGO,60637,F,0,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,OTHER,13,27,0,9
O1193088,2,9/27/2021 13:45,CHICAGO,60651,M,19,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,HUMBODLT PARK HEALTH,FOLLOWED TOO CLOSELY,13,27,0,9
O1193550,2,9/27/2021 14:00,CHICAGO,60625,M,80,NOT APPLICABLE,NO INDICATION OF INJURY,SWEDISH,OTHER,14,27,0,9
O1193422,2,9/27/2021 14:50,CHICAGO,60609,F,23,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,14,27,0,9
O1193338,2,9/27/2021 15:00,CHICAGO,60653,F,28,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,15,27,0,9
O1193339,2,9/27/2021 15:03,CHICAGO,60609,M,61,NOT APPLICABLE,NONINCAPACITATING INJURY,STROGER,NONE,15,27,0,9
O1193148,2,9/27/2021 15:15,CHICAGO,60623,M,20,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,15,27,0,9
O1193212,2,9/27/2021 15:47,CHICAGO,60639,M,26,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",AMITA  RESURRECTION HOSPITAL,OTHER,15,27,0,9
O1193213,2,9/27/2021 15:56,CHICAGO,60632,F,52,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,15,27,0,9
O1193314,2,9/27/2021 16:05,CHICAGO,60652,M,19,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,16,27,0,9
O1193315,2,9/27/2021 16:05,CHICAGO,60652,M,28,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,16,27,0,9
O1193255,2,9/27/2021 16:10,CHICAGO,60625,M,18,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,UNKNOWN,16,27,0,9
O1193270,2,9/27/2021 16:30,CHICAGO,60643,F,49,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,UNIVERSITY OF CHICAGO,FAILED TO YIELD,16,27,0,9
O1193271,2,9/27/2021 16:30,CHICAGO,60609,F,32,DID NOT DEPLOY,NONINCAPACITATING INJURY,ST BERNARDS,NONE,16,27,0,9
O1193409,2,9/27/2021 16:45,CHICAGO,60625,M,61,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,16,27,0,9
O1193331,2,9/27/2021 16:57,CHICAGO,60647,M,47,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,WEST SUB HOSPITAL,UNKNOWN,16,27,0,9
O1193378,2,9/27/2021 17:00,CHICAGO,60649,F,39,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,UNIVERSITY OF CHICAGO,OTHER,17,27,0,9
O1193474,2,9/27/2021 17:00,CHICAGO,60625,F,61,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,17,27,0,9
O1193345,2,9/27/2021 17:47,CHICAGO,60607,M,47,DID NOT DEPLOY,NONINCAPACITATING INJURY,REFUSED,OTHER,17,27,0,9
O1193470,2,9/27/2021 18:25,CHICAGO,60630,M,41,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,ST FRANCIS,FAILED TO YIELD,18,27,0,9
O1193426,2,9/27/2021 19:40,CHICAGO,60614,M,28,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,19,27,0,9
O1193430,2,9/27/2021 20:33,CHICAGO,60647,M,26,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,20,27,0,9
O1193431,2,9/27/2021 20:33,CHICAGO,60647,M,44,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,20,27,0,9
O1193514,2,9/28/2021 1:29,CHICAGO,60637,F,25,NOT APPLICABLE,FATAL,UOFC,UNKNOWN,1,28,1,9
O1193671,2,9/28/2021 6:37,CHICAGO,60629,M,63,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,IMPROPER LANE CHANGE,6,28,1,9
O1193672,2,9/28/2021 6:37,CHICAGO,60629,M,36,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,6,28,1,9
O1193618,2,9/28/2021 7:25,CHICAGO,60614,M,28,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,7,28,1,9
O1193559,2,9/28/2021 7:30,CHICAGO,60623,M,39,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,7,28,1,9
O1193604,2,9/28/2021 8:12,CHICAGO,60608,F,35,DID NOT DEPLOY,NONINCAPACITATING INJURY,ST ANTHONY,NONE,8,28,1,9
O1193673,2,9/28/2021 8:50,CHICAGO,60623,M,26,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,TOO FAST FOR CONDITIONS,8,28,1,9
O1193724,2,9/28/2021 9:00,CHICAGO,60644,M,28,DID NOT DEPLOY,NONINCAPACITATING INJURY,UIC,UNKNOWN,9,28,1,9
O1193667,2,9/28/2021 9:13,CHICAGO,60609,M,19,NOT APPLICABLE,NONINCAPACITATING INJURY,ST. BERNARD,NONE,9,28,1,9
O1193787,2,9/28/2021 9:50,CHICAGO,60620,M,26,DID NOT DEPLOY,NO INDICATION OF INJURY,UNIVERSITY 0F CHGO,UNKNOWN,9,28,1,9
O1193788,2,9/28/2021 9:50,CHICAGO,60620,F,23,"DEPLOYED, FRONT",INCAPACITATING INJURY,UNIV OF CHGO,FAILED TO YIELD,9,28,1,9
O1193743,2,9/28/2021 11:00,CHICAGO,60622,M,38,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,11,28,1,9
O1193758,2,9/28/2021 11:35,CHICAGO,60660,M,40,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,11,28,1,9
O1193745,2,9/28/2021 11:48,CHICAGO,60637,M,29,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,11,28,1,9
O1193746,2,9/28/2021 11:48,CHICAGO,60628,M,53,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,11,28,1,9
O1193797,2,9/28/2021 11:50,CHICAGO,60608,M,32,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,RUSH HOSPITAL,UNKNOWN,11,28,1,9
O1194482,2,9/28/2021 12:01,CHICAGO,60629,F,64,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",HOLY CROSS,UNKNOWN,12,28,1,9
O1194483,2,9/28/2021 12:01,CHICAGO,60652,M,36,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,12,28,1,9
O1193770,2,9/28/2021 12:10,CHICAGO,60639,F,24,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,12,28,1,9
O1193855,2,9/28/2021 13:10,CHICAGO,60651,M,36,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED. ATTN.,NONE,13,28,1,9
O1193854,2,9/28/2021 13:10,CHICAGO,60647,M,58,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED. ATTN.,FAILED TO YIELD,13,28,1,9
O1193976,2,9/28/2021 14:00,CHICAGO,60649,F,52,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,HOLY CROSS,UNKNOWN,14,28,1,9
O1193929,2,9/28/2021 14:30,CHICAGO,60634,M,52,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,FIRST COMMUNITY,IMPROPER LANE CHANGE,14,28,1,9
O1193942,2,9/28/2021 14:36,CHICAGO,60622,M,71,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,14,28,1,9
O1193987,2,9/28/2021 16:00,CHICAGO,60623,M,48,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,16,28,1,9
O1193988,2,9/28/2021 16:00,CHICAGO,60629,F,31,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,16,28,1,9
O1193971,2,9/28/2021 16:13,CHICAGO,60636,M,23,"DEPLOYED, FRONT",NO INDICATION OF INJURY,DECLINED,TOO FAST FOR CONDITIONS,16,28,1,9
O1193972,2,9/28/2021 16:13,CHICAGO,60632,M,58,"DEPLOYED, FRONT",NO INDICATION OF INJURY,DECLINED,NONE,16,28,1,9
O1193991,2,9/28/2021 16:18,CHICAGO,60651,M,19,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,REFUSED,FAILED TO YIELD,16,28,1,9
O1193992,2,9/28/2021 16:18,CHICAGO,60639,M,62,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSING,NONE,16,28,1,9
O1194193,2,9/28/2021 17:00,CHICAGO,60634,M,52,DEPLOYMENT UNKNOWN,"REPORTED, NOT EVIDENT",COMMUNITY FIRST,UNKNOWN,17,28,1,9
O1194042,2,9/28/2021 17:26,CHICAGO,60803,M,37,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,OTHER,17,28,1,9
